"Aurora Quest - Otaku No Seiza - In Another World / オーロラクエスト おたくの星座 In Another World","aurora-quest-otaku-no-seiza-in-another-world","JP","SCD",1993,"Pack-In-Video / パック・イン・ビデオ"
"Babel / バベル","babel","JP","SCD",1992,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Bakushou Yoshimoto Shinkigeki / 爆笑吉本新喜劇","bakushou-yoshimoto-shinkigeki","JP","SCD",1994,"Hudson / ハドソン"
"Basted / バステッド","basted","JP","SCD",1994,"NEC Avenue/AIC / NECアベニュー"
"Bishoujo Senshi Sailor Moon - Collection / 美少女戦士セーラームーン COLLECTION","bishoujo-senshi-sailor-moon-collection","JP","SCD",1994,"Banpresto / バンプレスト"
"Blood Gear / ブラッド・ギア","blood-gear","JP","SCD",1994,"Hudson / ハドソン"
"Bomberman '94 Taikenban / ボンバーマン'94 体験版","bomberman-'94-taikenban","JP","SCD",1993,"Hudson Soft"
"Brandish / ブランディッシュ","brandish","JP","SCD",1994,"NEC Home Electronics/Falcom / NECホームエレクトロニクス/日本ファルコム"
"Browning / ブロウニング","browning","JP","SCD",1992,"RIOT, Telenet Japan / ライオット, 日本テレネット"
"Burai II / ブライII 闇皇帝の逆襲","burai-ii","JP","SCD",1992,"Riverhill Soft / リバーヒルソフト"
"Cal II / キャルII","cal-ii","JP","SCD",1993,"NEC Avenue/Birdy Soft / NECアベニュー/バーディソフト"
"Cal III / CAL III 完結編","cal-iii","JP","SCD",1994,"NEC Avenue/Flight Plan/Birdy Soft / NECアベニュー/フライトプラン/バーディソフト"
"Chiki Chiki Boys / チキチキボーイズ","chiki-chiki-boys","JP","SCD",1994,"NEC Avenue/Flight Plan/Capcom / NECアベニュー/フライトプラン/カプコン"
"Chou Aniki / 超兄貴","chou-aniki","JP","SCD",1992,"Masaya (NCS) / メサイヤ（日本コンピューターシステム）"
"Choujikuuyousai Macross 2036 / 超時空要塞マクロス2036","choujikuuyousai-macross-2036","JP","SCD",1992,"Masaya (NCS)/Dual / メサイヤ（日本コンピューターシステム）/デュアル"
"Cosmic Fantasy 3 - Bouken Shounen Rei / コズミック・ファンタジー3 冒険少年レイ","cosmic-fantasy-3-bouken-shounen-rei","JP","SCD",1992,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Cosmic Fantasy 4 / コズミック・ファンタジー4 銀河少年伝説 ―突入編― 伝説へのプレリュード","cosmic-fantasy-4-1","JP","SCD",1994,"Telenet Japan / 日本テレネット"
"Cosmic Fantasy 4 / コズミック・ファンタジー4 銀河少年伝説 ―激闘編― 光の宇宙の中で…","cosmic-fantasy-4-2","JP","SCD",1994,"Telenet Japan / 日本テレネット"
"Cotton / コットン","cotton","JP","SCD",1993,"Hudson / ハドソン"
